,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse_test,mape_test,r2_test,rmse_interpolation,mape_interpolation,r2_interpolation
50,0.05,237.0,Grid1296,RQ,1.0,-,1.0,-,25.109045643758773,0.0223583800523835,0.9071694974924256,50.040833893211136,0.0587246579745693,0.7592958494977409
51,0.05,237.0,Grid1296,ESS,1.0,-,-,1.0,33.85847991147756,0.0264358640953758,0.8312028141605929,426.12008251168027,0.5556887777642576,-16.454142096277007
52,0.05,237.0,Grid2401,RBF,1.0,-,-,-,700.9635486342238,0.999999999999996,-104.1020775321616,670.9758545619563,0.9998526291334764,-39.801545454820975
53,0.05,237.0,Grid2401,Matern,1.0,1.5,-,-,13.790579882568386,0.0126206635719096,0.9593195743528904,41.54176880596939,0.05075432945215,0.843601422781662
54,0.05,237.0,Grid2401,RQ,1.0,-,1.0,-,15.377707675735342,0.0124514689091237,0.9494171105954604,88.44545198632484,0.0939862670360301,0.2910528835396897
55,0.05,237.0,Grid2401,ESS,1.0,-,-,1.0,67.74066042292515,0.0653335149403423,0.0184345019122095,514.7953442192827,0.7103446443926168,-23.0177350770401
56,0.05,237.0,Sobol1,RBF,1.0,-,-,-,664.2317442890298,0.9999999999999736,-30.535889556814983,683.1145077858637,0.9997800688469296,-53.06162254547134
57,0.05,237.0,Sobol1,Matern,1.0,1.5,-,-,12.112026794383036,0.0111478150110594,0.989514250520254,20.4265366711562,0.0160539834918656,0.9516616820083392
58,0.05,237.0,Sobol1,RQ,1.0,-,1.0,-,17.825040251742163,0.0159798595965783,0.9772894908833264,21.14775163567749,0.017623953559038,0.9481879875879048
59,0.05,237.0,Sobol1,ESS,1.0,-,-,1.0,20.225264547266047,0.0173605974527437,0.9707615562173576,25.50285959477981,0.0203105420233178,0.9246505965847366
60,0.05,237.0,Sobol2,RBF,1.0,-,-,-,28.976291371916243,0.0259689502861193,0.9379153179667176,28.704020139861093,0.0224891213310984,0.9019962042427554
61,0.05,237.0,Sobol2,Matern,1.0,1.5,-,-,16.623826889662546,0.014512616505599,0.9795656476980164,20.418419518283915,0.0162046849595648,0.9504091343166052
62,0.05,237.0,Sobol2,RQ,1.0,-,1.0,-,17.49560702150807,0.0176927072435117,0.9773662303552983,19.921307749677947,0.0165515264253582,0.9527944422180304
63,0.05,237.0,Sobol2,ESS,1.0,-,-,1.0,28.976290883041496,0.025968949775127,0.9379153200616464,28.704019761671336,0.0224891210033923,0.901996206825253
64,0.05,588.0,Grid1296,RBF,1.0,-,-,-,36.31933673881142,0.0277186943782032,0.6476539146627595,435.6859912570301,0.5688097315917027,-17.30381782997033
65,0.05,588.0,Grid1296,Matern,1.0,1.5,-,-,5.57570584851784,0.0064903043819039,0.991695885262364,67.89102680335398,0.0613656318631327,0.5555537494876555
66,0.05,588.0,Grid1296,RQ,1.0,-,1.0,-,5.947857180243785,0.0062421277865226,0.9905503723420503,49.283646525711845,0.0578684746721331,0.7657928439312776
67,0.05,588.0,Grid1296,ESS,1.0,-,-,1.0,3.678783779061897,0.0042805301757638,0.9963850511320868,67.0740199974743,0.0554905553152486,0.5661863984642397
68,0.05,588.0,Grid2401,RBF,1.0,-,-,-,90.38073270730736,0.0595247003603119,-0.5123949142783215,499.1253025592202,0.6851274690299821,-21.50227563216057
69,0.05,588.0,Grid2401,Matern,1.0,1.5,-,-,37.02719852834768,0.0195031405740559,0.7461628388960836,37.20117307428045,0.0443666814884365,0.8749969709718348
70,0.05,588.0,Grid2401,RQ,1.0,-,1.0,-,23.902863561030777,0.015759205397249,0.8942176142191469,88.04933880471322,0.0935239834770811,0.2997397649199198
71,0.05,588.0,Grid2401,ESS,1.0,-,-,1.0,27.04629711405939,0.0144284018291858,0.8645655582520769,249.18135081798164,0.1657981317618486,-4.608391711528666
