,ratio,rndint,dataset,kernel,mape_ist,r2_ist,mape_ost,r2_ost
76,0.05,490.0,Grid1296,Matern,0.005975191536724731,0.9939533115173542,0.061674971295883806,0.5590206277081364
77,0.05,490.0,Grid2401,Matern,0.020906890132955262,0.6481004155834384,0.045233661843723724,0.8764095789843431
78,0.05,490.0,Sobol1,Matern,0.008520195198697378,0.9937662894605125,0.015952930060965858,0.9513116678492383
79,0.05,490.0,Sobol2,Matern,0.019089504118870372,0.9686282717372955,0.016167886349772415,0.949050989031885
80,0.05,490.0,Grid1296,RQ,0.010442637761922776,0.9623914081586269,0.05859332901632478,0.763724231989669
81,0.05,490.0,Grid2401,RQ,0.01917837781722518,0.7513557487282619,0.09519520129225582,0.2859966182231318
82,0.05,490.0,Sobol1,RQ,0.01550481034888847,0.9794412887308396,0.01734788314318753,0.9482796616119497
83,0.05,490.0,Sobol2,RQ,0.023435933479682862,0.94984160545254,0.01670846568380345,0.9506040605794774
84,0.05,395.0,Grid1296,RBF,0.025720918022621584,0.9194920708198783,0.57073395693691,-17.16138533179437
85,0.05,395.0,Grid2401,RBF,0.0649570467707424,-1.0143966252053365,0.7109625586414944,-22.611137189669204
86,0.05,395.0,Sobol1,RBF,0.013476158442321912,0.987193735819577,0.01966272162245158,0.933995316718513
87,0.05,395.0,Sobol2,RBF,0.02232463300080267,0.9677887057318033,0.022616438053774512,0.8955765444706508
88,0.05,395.0,Grid1296,Matern,0.007787519559396585,0.9925327551774262,0.062011972351523996,0.5570801061960828
89,0.05,395.0,Grid2401,Matern,0.018834853068881375,0.778770025245155,0.045356178029588266,0.8741454439403751
90,0.05,395.0,Sobol1,Matern,0.00893303549969265,0.9934993545600712,0.015916233077751744,0.9521526695736628
91,0.05,395.0,Sobol2,Matern,0.01337096097242056,0.9904831844971653,0.01616385314214236,0.9496676765863483
92,0.05,395.0,Grid1296,RQ,0.01825135460261445,0.9408042737602521,0.05913080020927595,0.75854481642502
93,0.05,395.0,Grid2401,RQ,0.013783459412444816,0.9095965879754643,0.09477257933348773,0.2939727137139152
94,0.05,395.0,Sobol1,RQ,0.013989418205697888,0.9845084622606146,0.017372286801848453,0.9485034552233473
95,0.05,395.0,Sobol2,RQ,0.020444809027768615,0.9763965868081438,0.01650926689674706,0.9520487928346986
96,0.05,877.0,Grid1296,RBF,0.03117504742842572,0.6337689164520732,0.5732672525540682,-17.285764751117615
97,0.05,877.0,Grid2401,RBF,0.07087677412857189,-1.598719661368226,0.7182058871477464,-23.021331130400025
98,0.05,877.0,Sobol1,RBF,0.012383393974841644,0.988291773815566,0.019983248400275554,0.9304771194862228
99,0.05,877.0,Sobol2,RBF,0.014836715073004401,0.9764092058665644,0.022318090701311872,0.9044915671418157
100,0.05,877.0,Grid1296,Matern,0.0073663499720637415,0.9905429561462287,0.06148070642138239,0.5606805166303193
101,0.05,877.0,Grid2401,Matern,0.01656158519564963,0.6771715009192102,0.04903215189016831,0.8537618239028552
102,0.05,877.0,Sobol1,Matern,0.010013650329103547,0.9919415042065308,0.015997497581954217,0.9513298256386788
103,0.05,877.0,Sobol2,Matern,0.008692342415780128,0.9930772031914934,0.016183277122819122,0.9499172884628323
104,0.05,877.0,Grid1296,RQ,0.011760620403529102,0.9581876536506453,0.05876456947544904,0.761296560338831
105,0.05,877.0,Grid2401,RQ,0.012592651650203792,0.9454786063361132,0.09499714747476153,0.29138362189957134
106,0.05,877.0,Sobol1,RQ,0.01371988193788204,0.9815800428281859,0.0173110099847795,0.9484199457177943
107,0.05,877.0,Sobol2,RQ,0.013134076242548306,0.9814721711727289,0.01656479448905208,0.9518632807799519
108,0.05,297.0,Grid1296,RBF,1.0,-72.17330654759992,1.0,-43.214781562204614
109,0.05,297.0,Grid2401,RBF,1.0,-123.65995529491863,1.0,-39.39928014384073
110,0.05,297.0,Sobol1,RBF,1.0,-28.650711615455123,1.0,-53.9800661222328
111,0.05,297.0,Sobol2,RBF,1.0,-42.05867696673092,1.0,-55.45585703501171
112,0.05,297.0,Grid1296,Matern,0.0067021914676096295,0.9952895229303943,0.06142334646439024,0.5619297587443918
113,0.05,297.0,Grid2401,Matern,0.014650850795363523,0.8828860940317734,0.049228713550330094,0.8540164022189672
114,0.05,297.0,Sobol1,Matern,0.010300275296123056,0.9930512792429953,0.016100536108232467,0.9508493595140938
115,0.05,297.0,Sobol2,Matern,0.010352667891116241,0.9868004470319521,0.016090052659700718,0.9501199207539843
116,0.05,297.0,Grid1296,RQ,0.010087505424296869,0.9766777769084534,0.05861562612149535,0.7626474303746574
117,0.05,297.0,Grid2401,RQ,0.01183063624645335,0.9610447417989029,0.09492395477505193,0.29321234747492897
118,0.05,297.0,Sobol1,RQ,0.01954349789200052,0.975994063361065,0.01753732921634882,0.9476684933321249
119,0.05,297.0,Sobol2,RQ,0.01218076935624758,0.9799637083100858,0.016479489875751135,0.9520233658476474
120,0.05,721.0,Grid1296,RBF,1.0,-62.29593616370372,1.0,-43.214781562204614
121,0.05,721.0,Grid2401,RBF,1.0,-103.56005943686222,1.0,-39.39928014384073
122,0.05,721.0,Sobol1,RBF,0.014365789577799196,0.9870299549072852,0.02004387866716947,0.9303200662274356
123,0.05,721.0,Sobol2,RBF,0.019465833480242934,0.9483720936768508,0.02222606035954622,0.9054607625505826
124,0.05,721.0,Grid1296,Matern,0.009126795577954355,0.9905642760272786,0.061770115451940194,0.5607642532624113
