,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse_test,mape_test,r2_test,rmse_interpolation,mape_interpolation,r2_interpolation
68,0.45,588.0,Grid2401,RBF,1.0,-,-,-,66.1071466950177,0.04947420084869646,0.05162108656467934,326.72316302680053,0.42135989779847877,-9.282091673614145
69,0.45,588.0,Grid2401,Matern,1.0,1.5,-,-,34.658459898675396,0.018205222873162317,0.7393224776856814,39.08239627552335,0.04235265306049089,0.852875842182929
70,0.45,588.0,Grid2401,RQ,1.0,-,1.0,-,24.6890006804025,0.017287985647996326,0.867720639330295,85.4853875281491,0.08726791108132176,0.2961090336594684
71,0.45,588.0,Grid2401,ESS,1.0,-,-,1.0,37.79901613466915,0.021506056243593235,0.6899397766714224,212.73353593855023,0.1461581478908117,-3.359066951414351
72,0.45,588.0,Sobol1,RBF,1.0,-,-,-,15.80123434419059,0.015494590948585355,0.9785986366858409,26.07196142003987,0.021242565801144586,0.9249096308772868
73,0.45,588.0,Sobol1,Matern,1.0,1.5,-,-,14.294866378039453,0.01342197726215375,0.9824846180621047,20.723347733481383,0.017235088188563844,0.9525586915606258
74,0.45,588.0,Sobol1,RQ,1.0,-,1.0,-,20.154762142402483,0.019194843047313535,0.9651811225081636,22.340890144401914,0.019839937945657925,0.9448636800863717
75,0.45,588.0,Sobol1,ESS,1.0,-,-,1.0,672.988270991423,0.9805519102191674,-37.8216868655224,669.7050087115067,0.9665095220526561,-48.545466697307624
76,0.45,588.0,Sobol2,RBF,1.0,-,-,-,22.969943634579334,0.021249204474944935,0.9557049516817846,25.252678103639983,0.021676639986728675,0.9277875525764291
77,0.45,588.0,Sobol2,Matern,1.0,1.5,-,-,19.406835116005322,0.016282954276383172,0.96838124591649,20.944464242240375,0.017619943239723254,0.9503252500144724
78,0.45,588.0,Sobol2,RQ,1.0,-,1.0,-,25.102732723028517,0.02423185804862257,0.9470973624750918,23.16564520528811,0.02101243626192448,0.9392304556632702
79,0.45,588.0,Sobol2,ESS,1.0,-,-,1.0,23.418176296547838,0.021715298874036747,0.9539593482310801,25.650562992639998,0.022063660917719472,0.9254940456296368
80,0.45,951.0,Grid1296,RBF,1.0,-,-,-,18.18509773853632,0.018415956501977852,0.9469688737727082,254.2060573026713,0.30598206498474106,-5.406923843997769
81,0.45,951.0,Grid1296,Matern,1.0,1.5,-,-,13.385139894831388,0.010861346158704505,0.9712693533856946,57.027205911474375,0.05333855855872175,0.6775651624232673
