,target,maxR2-0,AbsDiffs-0,RelDiffs-0,maxR2-1,AbsDiffs-1,RelDiffs-1,maxR2-2,AbsDiffs-2,RelDiffs-2,maxR2-3,AbsDiffs-3,RelDiffs-3,maxR2-4,AbsDiffs-4,RelDiffs-4,maxR2-5,AbsDiffs-5,RelDiffs-5,maxR2-6,AbsDiffs-6,RelDiffs-6,maxR2-7,AbsDiffs-7,RelDiffs-7,maxR2-8,AbsDiffs-8,RelDiffs-8,maxR2-9,AbsDiffs-9,RelDiffs-9,maxR2-10,AbsDiffs-10,RelDiffs-10,maxR2-11,AbsDiffs-11,RelDiffs-11
39,3.101,2.38665,-0.71435,-0.23036117381489843,3.1304,0.02939999999999987,0.00948081264108348,3.7830000000000004,0.6820000000000004,0.21992905514350222,3.7918000000000003,0.6908000000000003,0.22276684940341834,3.7663,0.6653000000000002,0.21454369558207037,2.64187,-0.45913000000000004,-0.148058690744921,3.8473000000000006,0.7463000000000006,0.24066430183811693,3.0760000000000005,-0.024999999999999467,-0.008061915511125272,3.781200000000001,0.680200000000001,0.2193485972267014,2.98163,-0.11936999999999998,-0.03849403418252176,2.68341,-0.41759000000000013,-0.134663011931635,3.0688999999999993,-0.032100000000000684,-0.01035149951628529
40,2.959,2.55765,-0.4013499999999999,-0.13563703954038522,3.5294,0.5703999999999998,0.1927678269685704,4.1819,1.2228999999999997,0.41328151402500835,4.208600000000001,1.2496000000000005,0.4223048327137548,4.1674999999999995,1.2084999999999995,0.40841500506927997,2.7197699999999996,-0.2392300000000005,-0.08084825954714447,4.259399999999999,1.3003999999999993,0.4394727948631292,3.4446000000000003,0.48560000000000025,0.16410949645150397,4.186600000000001,1.2276000000000011,0.4148698884758368,3.2659300000000004,0.30693000000000037,0.10372761067928367,2.86051,-0.09848999999999997,-0.03328489354511658,3.4388999999999994,0.4798999999999993,0.1621831699898612
41,3.153,2.44075,-0.71225,-0.22589597209007295,3.4247000000000005,0.2717000000000005,0.08617189977798938,4.199699999999999,1.046699999999999,0.3319695528068503,4.1828,1.0298000000000003,0.32660957817951164,4.157100000000001,1.0041000000000007,0.31845861084681276,2.7194700000000003,-0.43352999999999975,-0.1374976213130351,4.273200000000001,1.120200000000001,0.3552806850618462,3.3475,0.19450000000000012,0.06168728195369493,4.180500000000001,1.0275000000000012,0.3258801141769747,3.1977300000000004,0.04473000000000038,0.014186489058040083,2.79651,-0.35649,-0.1130637488106565,3.3409999999999993,0.18799999999999928,0.05962575325087196
42,3.193,2.49485,-0.69815,-0.21865017225180083,3.4617000000000004,0.2687000000000004,0.08415283432508625,4.1758,0.9827999999999997,0.30779830880050096,4.1866,0.9936000000000003,0.31118070779830886,4.1496,0.9566000000000003,0.2995928593798936,2.7151699999999996,-0.4778300000000004,-0.14964923269652378,4.254099999999999,1.0610999999999993,0.33232070153460674,3.383,0.18999999999999995,0.05950516755402441,4.172,0.9789999999999996,0.30660820544942047,3.2183300000000004,0.025330000000000297,0.007932978390228718,2.81811,-0.37489000000000017,-0.11740995928593805,3.3739,0.18089999999999984,0.056655183213278996
43,1.466,1.10818,-0.35782,-0.24407912687585268,2.1837,0.7177,0.48956343792633017,3.7303000000000006,2.2643000000000004,1.5445429740791272,3.510299999999999,2.044299999999999,1.3944747612551152,3.5550000000000006,2.0890000000000004,1.4249658935879947,1.84147,0.37546999999999997,0.256118690313779,3.7988999999999997,2.3328999999999995,1.5913369713506136,2.1225,0.6565000000000001,0.4478171896316508,3.595300000000001,2.1293000000000006,1.4524556616643933,2.1135300000000004,0.6475300000000004,0.44169849931787203,1.70141,0.23541000000000012,0.16057980900409285,2.1193999999999997,0.6533999999999998,0.4457025920873123
44,3.375,2.69875,-0.67625,-0.20037037037037037,3.6704,0.2953999999999999,0.0875259259259259,4.414699999999999,1.039699999999999,0.308059259259259,4.4216,1.0465999999999998,0.3101037037037036,4.3867,1.0117000000000003,0.29976296296296306,2.9403699999999997,-0.4346300000000003,-0.12877925925925934,4.4933,1.1182999999999996,0.33134814814814806,3.5926,0.21760000000000002,0.06447407407407407,4.4081,1.0331000000000001,0.30610370370370377,3.43503,0.060029999999999806,0.01778666666666661,3.03781,-0.3371900000000001,-0.09990814814814818,3.5857,0.2107000000000001,0.06242962962962966
45,3.443,2.64365,-0.79935,-0.2321667150740633,3.8211000000000004,0.3781000000000003,0.10981702004066231,4.938999999999999,1.495999999999999,0.43450479233226813,4.864599999999999,1.4215999999999993,0.41289573046761524,4.852799999999999,1.4097999999999993,0.4094684867847805,3.0909700000000004,-0.3520299999999996,-0.10224513505663654,5.023300000000001,1.5803000000000007,0.45898925355794384,3.7344,0.2913999999999999,0.0846354923032239,4.8854,1.4423999999999997,0.41893697356956133,3.5959300000000005,0.15293000000000045,0.044417659018298125,3.12271,-0.32028999999999996,-0.093026430438571,3.7272999999999996,0.28429999999999955,0.08257333720592494
46,2.531,1.94935,-0.5816500000000002,-0.2298103516396682,2.4546,-0.07640000000000002,-0.03018569735282498,2.8904999999999994,0.35949999999999926,0.14203871987356745,2.9063,0.37529999999999974,0.1482813117344922,2.883300000000001,0.35230000000000095,0.13919399446858985,2.1236699999999997,-0.4073300000000004,-0.16093638877913882,2.935600000000001,0.40460000000000074,0.15985776372975136,2.4149000000000003,-0.11609999999999987,-0.04587119715527454,2.8965000000000005,0.3655000000000004,0.14440932437771645,2.35263,-0.17837000000000014,-0.07047412090082976,2.15171,-0.3792900000000001,-0.14985776372975113,2.4101,-0.12090000000000023,-0.04776768075859353
47,3.021,2.45015,-0.5708500000000001,-0.18896060906984447,3.4256,0.4046000000000003,0.13392916252896403,4.1948,1.1738,0.38854683879510094,4.183299999999999,1.1622999999999992,0.38474015226746083,4.1552,1.1341999999999999,0.375438596491228,2.7167700000000004,-0.30422999999999956,-0.10070506454816272,4.2696000000000005,1.2486000000000006,0.41330685203574996,3.3485000000000005,0.32750000000000057,0.10840781198278734,4.1794,1.1584000000000003,0.3834491890102616,3.19743,0.1764300000000003,0.05840119165839137,2.79841,-0.22258999999999984,-0.0736809003641178,3.3419999999999996,0.32099999999999973,0.10625620655412106
48,2.664,2.09875,-0.5652500000000003,-0.21218093093093102,2.8514,0.1873999999999998,0.07034534534534526,3.3867000000000003,0.7227000000000001,0.2712837837837838,3.395999999999999,0.7319999999999989,0.27477477477477436,3.3670999999999998,0.7030999999999996,0.2639264264264263,2.26167,-0.4023300000000001,-0.1510247747747748,3.445500000000001,0.7815000000000007,0.2933558558558561,2.7895000000000003,0.12550000000000017,0.04710960960960967,3.385600000000001,0.7216000000000009,0.2708708708708712,2.65993,-0.004070000000000018,-0.0015277777777777844,2.34731,-0.31669000000000036,-0.11887762762762775,2.784,0.11999999999999966,0.04504504504504492
