,ratio,rndint,dataset,mape_ist,r2_ist,mape_ost,r2_ost
114,0.25,490.0,Sobol1,0.0100549777631574,0.9922529585322184,0.0175978602376742,0.9463631646307308
115,0.05,829.0,Sobol1,0.0100664077425049,0.989794368786016,0.0185781244787651,0.9420502065042352
116,0.05,593.0,Sobol1,0.0100697874784917,0.9893184351043116,0.0174495859577969,0.9457061133781912
117,0.25,490.0,Sobol1,0.0100782670086245,0.9922152435397268,0.0176112229558241,0.9464697746194676
118,0.1,561.0,Sobol1,0.0100862105390039,0.9936560618151018,0.0176698223882776,0.9462035869936888
119,0.15,272.0,Sobol1,0.0100879567219743,0.9931943538866418,0.0173860062927886,0.9477616755447936
120,0.15,490.0,Sobol1,0.0100941393015838,0.9932238104054638,0.0174369990037994,0.9463878809510816
121,0.1,390.0,Sobol1,0.0101036599386525,0.994011602906719,0.0175929702579808,0.9455418770866558
122,0.15,791.0,Sobol1,0.0101057791674842,0.9932843236700996,0.0173054131149894,0.9479737012404984
123,0.05,593.0,Sobol1,0.0101067157645687,0.989727032047922,0.0174534471339949,0.9459745691206196
124,0.1,78.0,Sobol1,0.0101146622945893,0.9911305534733093,0.0172595531451386,0.9469433356481368
125,0.15,633.0,Sobol1,0.0101306250913606,0.9887074166733844,0.0176854429056751,0.945304661496547
126,0.1,180.0,Sobol1,0.0101340945363681,0.9924571581149276,0.0176603887244687,0.945953616085791
127,0.1,222.0,Sobol1,0.0101342631810708,0.9896616228226944,0.0175202947935297,0.9464532902957682
128,0.1,180.0,Sobol1,0.0101355746420018,0.9926128267564214,0.0177429773343831,0.9456533577351934
129,0.15,510.0,Sobol1,0.0101415684079251,0.9908383003088606,0.0174214676705991,0.947017776518674
130,0.15,490.0,Sobol1,0.0101423331579625,0.9931770144606588,0.0174635565571484,0.9462838645299696
131,0.25,490.0,Sobol1,0.0101435179718699,0.9921416335184712,0.0175981726937777,0.9461365091021514
132,0.1,16.0,Sobol1,0.0101478314245025,0.9914271739153776,0.0174012555015448,0.9465833145673548
133,0.2,791.0,Sobol1,0.0101511870193253,0.9911565170692106,0.0172713615782346,0.9485301708810944
134,0.25,490.0,Sobol1,0.0101514461995946,0.992145937435298,0.0175978031524537,0.9464673700165052
135,0.15,272.0,Sobol1,0.0101522620955891,0.9931908955040948,0.0174850545124211,0.947943111887862
136,0.2,791.0,Sobol1,0.0101525623524613,0.9910797532331176,0.0172661849073137,0.948573682477342
137,0.1,390.0,Sobol1,0.0101538447320491,0.993933041747007,0.017491814586085,0.945921850053745
138,0.05,272.0,Sobol1,0.0101542569874678,0.9933205857653564,0.0173357553701365,0.947100686584854
139,0.15,272.0,Sobol1,0.0101573843207991,0.9930328335495452,0.0174047149576697,0.9476704039308456
140,0.1,222.0,Sobol1,0.0101603044482691,0.9894794651661152,0.0175061708842009,0.9471397810314932
141,0.15,272.0,Sobol1,0.0101629794342933,0.9931053718371192,0.0173783113768945,0.9477218996459924
142,0.15,633.0,Sobol1,0.0101645098445385,0.9887940772753196,0.0176973151317701,0.9452018823063912
143,0.1,180.0,Sobol1,0.0101671135666045,0.992622894731025,0.0177474701034434,0.9456659266470736
144,0.05,968.0,Sobol1,0.010171231809568,0.980524015238338,0.0175322921494223,0.9451549606550406
145,0.2,725.0,Sobol1,0.0101733828923122,0.9886601507302908,0.0174179060300023,0.9469906500767952
146,0.2,791.0,Sobol1,0.010176691047844,0.9911540871590028,0.0172668055655253,0.9485844924452336
147,0.15,490.0,Sobol1,0.0101809046810916,0.9931584509533904,0.0177443679074211,0.945133740507665
148,0.15,510.0,Sobol1,0.0101956602751387,0.9907128772832448,0.0174548156674278,0.9468116649343328
149,0.15,272.0,Sobol1,0.0101964843675504,0.9930992716107456,0.017389482946855,0.9476910925490456
150,0.15,928.0,Sobol1,0.0101972740808857,0.9917966111085076,0.0173146456814381,0.94665845653384
151,0.1,180.0,Sobol1,0.0102017124077734,0.99254201015638,0.0177140344577821,0.9457836722740902
152,0.2,490.0,Sobol1,0.0102092683850342,0.992510324815554,0.0174984172726498,0.9465700917741168
153,0.1,390.0,Sobol1,0.0102125284291564,0.9938696214129624,0.0174937903261501,0.9458472657496008
154,0.05,791.0,Sobol1,0.0102275526752113,0.9912098753004264,0.0182700920350949,0.9433384677546224
155,0.1,561.0,Sobol1,0.0102276124043213,0.993586594536479,0.0176562171011065,0.9463202999534048
156,0.15,78.0,Sobol1,0.0102304064951189,0.9914604879687714,0.0170484839665866,0.9481571530764448
157,0.15,78.0,Sobol1,0.0102364006529868,0.9914660533732764,0.0170527167367407,0.9481361820410784
158,0.2,791.0,Sobol1,0.0102390215178506,0.9909631407863244,0.017225235664192,0.9487578152890468
159,0.2,791.0,Sobol1,0.0102426328096222,0.9910406276466366,0.0172286509784757,0.9488732724088228
160,0.15,633.0,Sobol1,0.0102439251576346,0.9883075461153292,0.0177799374411109,0.9447468873241688
161,0.1,390.0,Sobol1,0.0102477083743837,0.9938867058853093,0.0175058584436256,0.9457864773684606
162,0.1,16.0,Sobol1,0.0102479212416558,0.9909381784919316,0.0175078683531567,0.9460298337425516
163,0.2,725.0,Sobol1,0.0102483323188622,0.988467829478496,0.0174618710154222,0.9468076354063556
164,0.15,78.0,Sobol1,0.0102572438671606,0.9916504308260182,0.0170633359006458,0.94800232694964
165,0.1,16.0,Sobol1,0.0102577198407004,0.9918944125997248,0.0186375592380906,0.9417680582032532
166,0.1,725.0,Sobol1,0.0102583531847071,0.99051694748947,0.0175575958371184,0.9462744992168468
167,0.1,633.0,Sobol1,0.0102608734706892,0.9899645545729308,0.0177640847739211,0.9451884951096416
168,0.15,791.0,Sobol1,0.0102612616802999,0.9932065571004072,0.0173112025905227,0.9480127497707826
169,0.15,510.0,Sobol1,0.0102682087760157,0.9906475299303136,0.0174696788625458,0.9466664795191708
170,0.05,510.0,Sobol1,0.0102695369362348,0.9902205863368722,0.0175629331545345,0.9459906365082476
171,0.15,78.0,Sobol1,0.0102714741507264,0.9914546200380172,0.0170573129518779,0.948103571492725
172,0.15,633.0,Sobol1,0.0102763953628211,0.9886048595832782,0.017740991821838,0.945053989298666
173,0.15,791.0,Sobol1,0.0102765435963006,0.9931360682215324,0.017329063914838,0.9479138196742342
174,0.15,510.0,Sobol1,0.0102880385919424,0.9906374067027486,0.0174609577994115,0.94674648278914
175,0.05,222.0,Sobol2,0.010288485147652,0.9914263306408988,0.0150375565938443,0.9602360456458696
176,0.1,180.0,Sobol1,0.0102919920929972,0.9921917344354488,0.0177146233201829,0.9455168765364932
177,0.15,791.0,Sobol1,0.0102980025591818,0.9930758953045804,0.0173173545944385,0.947995257557128
178,0.05,16.0,Sobol1,0.0103057367523073,0.9879553410241236,0.0175232064440512,0.9451860152159262
179,0.1,633.0,Sobol1,0.0103081775559474,0.989951634961385,0.0177162956111864,0.9454118625709688
180,0.1,725.0,Sobol1,0.0103133154289787,0.9905109413580192,0.0175006790389647,0.9463847306985536
181,0.15,78.0,Sobol1,0.0103197513561531,0.991484910561775,0.0169763293693514,0.9484588241758818
182,0.25,222.0,Sobol1,0.0103324062060304,0.9884418795164112,0.0178468645742494,0.9450959141632884
183,0.15,490.0,Sobol1,0.0103361806288239,0.9929451635924376,0.0175792518252982,0.9458362163429344
184,0.1,390.0,Sobol1,0.010340310017631,0.9936066862674092,0.0175427618270865,0.9456270196474642
185,0.15,791.0,Sobol1,0.0103412034891873,0.9931078635600306,0.0174562520389119,0.9468828401752556
186,0.25,222.0,Sobol1,0.0103416932786668,0.9885080579308544,0.0178532980308991,0.9451452788162248
187,0.05,222.0,Sobol2,0.0103471117400012,0.9910789583899572,0.0150127200812645,0.9604240491427156
188,0.05,928.0,Sobol1,0.0103496207213174,0.9941610226573284,0.0172577546911285,0.9463572008383874
189,0.1,78.0,Sobol1,0.0103524864611718,0.990893043317802,0.0171493121975853,0.947446461050402
190,0.05,16.0,Sobol1,0.010355073203869,0.9885507337966564,0.0174643820080529,0.9454282788207488
191,0.05,272.0,Sobol1,0.0103575683153116,0.9930687110703624,0.0172911597394477,0.9473280680360712
192,0.05,968.0,Sobol1,0.0103612819721832,0.9789158089030404,0.0174930632974111,0.9453923371261332
193,0.1,725.0,Sobol1,0.0103649809906859,0.9904817183523942,0.0174818833206104,0.946443933637785
194,0.05,222.0,Sobol2,0.0103653610380572,0.9913650419396054,0.0150476299772222,0.9602732163363756
195,0.1,633.0,Sobol1,0.0103679800851577,0.9898430143764791,0.0177027122022292,0.9454058078470308
196,0.1,968.0,Sobol1,0.0103683519482652,0.9875447423288436,0.017315480507398,0.9467317616743268
197,0.1,16.0,Sobol1,0.0103686633279069,0.990643836381976,0.017534834329191,0.9459046568539488
198,0.1,16.0,Sobol1,0.0103815947473865,0.990653758186372,0.0175114247806588,0.946018592807118
199,0.05,222.0,Sobol2,0.0103862218327112,0.9915154125612298,0.0150262267526561,0.960332981320706
200,0.25,222.0,Sobol1,0.0103870584796736,0.9883871476964764,0.0178411694173263,0.9451489982616988
201,0.05,928.0,Sobol1,0.0103924104626394,0.9940398734825818,0.0172463201303519,0.9465135720317032
202,0.1,395.0,Sobol1,0.0103933788896816,0.9938883338419978,0.0173741830681021,0.9469115953784072
203,0.1,395.0,Sobol1,0.0104037381849597,0.9939877012547352,0.0174430801553773,0.9466711918533536
204,0.05,928.0,Sobol1,0.0104084904277421,0.9940870324021924,0.017290861505155,0.946378605609382
205,0.25,222.0,Sobol1,0.010409430766776,0.9882992770906108,0.0178831943824584,0.9449207472409668
206,0.15,725.0,Sobol1,0.0104224615105579,0.989506776819886,0.0173147870944146,0.9475213991592756
207,0.15,725.0,Sobol1,0.0104232020538441,0.9894400155829888,0.0173269747776286,0.9474992281092816
208,0.05,928.0,Sobol1,0.010423794818925,0.9940479258657676,0.0172925385684363,0.946613695149361
209,0.1,725.0,Sobol1,0.0104243302922447,0.990149671038556,0.0175700949242904,0.9463304221327588
210,0.1,968.0,Sobol1,0.0104261579658445,0.9874855975127604,0.0173330854038415,0.946516889328398
211,0.1,633.0,Sobol1,0.0104477979440086,0.9897044438005382,0.0176804263428404,0.9455080277491384
212,0.1,936.0,Sobol1,0.0104480097857891,0.9909930802347806,0.0180310671125765,0.945427613943311
213,0.1,968.0,Sobol1,0.0104506092341893,0.9873506942248368,0.0173269367629636,0.9465882162359758
214,0.1,968.0,Sobol1,0.0104619852137531,0.9873352257753872,0.0173273701219358,0.946556167016126
215,0.1,968.0,Sobol1,0.0104631766852117,0.9875747107463566,0.0174710371820764,0.946443581134884
216,0.05,968.0,Sobol1,0.0104746901366846,0.9780041191848412,0.0173995990575661,0.9459511406459764
217,0.05,968.0,Sobol1,0.0104822281126549,0.9781265422665216,0.0174271283951985,0.9457270442605076
218,0.15,633.0,Sobol1,0.0104847598337447,0.9882020078578402,0.017814998614305,0.9445666139057612
219,0.1,395.0,Sobol1,0.0104907448054618,0.993824367641964,0.0174537459276125,0.9465716656893806
220,0.05,968.0,Sobol1,0.0105009362504405,0.97803181196043,0.0173947751099175,0.9460113619327908
221,0.15,725.0,Sobol1,0.0105020860375353,0.98931800415969,0.0173294033710823,0.947514298938362
222,0.15,395.0,Sobol1,0.0105116235010183,0.9916625543809752,0.017542159172429,0.9457462339519312
223,0.1,395.0,Sobol1,0.0105146023109778,0.9937865267770852,0.0174839159824776,0.9464954487275578
224,0.05,147.0,Sobol2,0.0105227537345631,0.9915304620006768,0.0149356018894263,0.9610520139707428
225,0.15,968.0,Sobol1,0.0105263585686771,0.9881064806293436,0.0174730333595027,0.9461975267894128
226,0.05,75.0,Sobol1,0.0105263600598538,0.9936340292733752,0.0173319259989359,0.9461168456239124
227,0.15,395.0,Sobol1,0.0105265373638015,0.9915952812058284,0.0175164093560943,0.9457009266845718
228,0.05,794.0,Sobol1,0.0105273808227956,0.9876538989134253,0.0182651456119287,0.941428443296802
229,0.2,78.0,Sobol1,0.0105370511113951,0.991233152829058,0.0170753925584403,0.9482480883394326
230,0.05,147.0,Sobol2,0.0105375845098891,0.9915039782056884,0.0149419016112369,0.961126851998943
231,0.15,968.0,Sobol1,0.010545799333977,0.9881674559861964,0.0174720572726919,0.946390689896914
232,0.15,510.0,Sobol1,0.0105476882502082,0.9904036632836452,0.0175253166496483,0.9468855098865838
233,0.05,16.0,Sobol1,0.0105596455617556,0.9881941612139314,0.0174096643270605,0.94566064073307
234,0.1,395.0,Sobol1,0.0105628664350139,0.9936199681216138,0.0173574959013779,0.9468674839621192
235,0.05,16.0,Sobol1,0.0105671409808491,0.9882657173254842,0.017434790409586,0.9455851960978404
236,0.05,16.0,Sobol1,0.0105691802191874,0.9881487775470794,0.0174114764962588,0.9457017734842948
237,0.2,180.0,Sobol1,0.0105692618108238,0.9895886583642196,0.0180098452558175,0.9460455781115444
238,0.15,968.0,Sobol1,0.0105770964797645,0.988060089190504,0.0174986224755721,0.9462423455686626
239,0.05,75.0,Sobol1,0.010582552595269,0.9935297376119678,0.0173210291358799,0.9462142846797382
240,0.05,75.0,Sobol1,0.0105846094074101,0.9935523555454512,0.0173123565299702,0.9462606228181358
241,0.15,968.0,Sobol1,0.010590422242605,0.9879827681839274,0.0174810025806555,0.9461733471339746
242,0.1,725.0,Sobol1,0.0105973746981786,0.9898046728251364,0.0177715594379914,0.9455704592273644
243,0.15,395.0,Sobol1,0.0105988215948741,0.9914567654179902,0.0175924616368273,0.9454654066871756
244,0.05,222.0,Sobol2,0.0106046650534889,0.9911481360737578,0.0152441458256202,0.959256704823942
245,0.15,297.0,Sobol1,0.0106059659508078,0.9883702072019482,0.0179637902119822,0.9452621065112
246,0.2,78.0,Sobol1,0.0106070508455112,0.9911575701055102,0.0170876748997074,0.9482194048964966
247,0.1,272.0,Sobol1,0.0106164689028371,0.9928637559267428,0.0173530335003734,0.9474642702700014
248,0.1,272.0,Sobol1,0.0106221642407227,0.992800975229507,0.0173932793908,0.9473313262256192
249,0.05,147.0,Sobol2,0.0106240582118581,0.991303827570658,0.0149369370472041,0.9610314956876436
250,0.1,816.0,Sobol1,0.0106341280551935,0.9919445196659112,0.0174279908407831,0.9465869827925024
251,0.15,395.0,Sobol1,0.0106397451988088,0.99140701431661,0.0175989801310797,0.9455212757585096
252,0.15,725.0,Sobol1,0.0106482347057283,0.9890029357310576,0.0174089251469402,0.9470189669548618
253,0.1,272.0,Sobol1,0.0106549608313778,0.9927668383915782,0.0173738072826437,0.947407462053124
254,0.2,180.0,Sobol1,0.0106693425711599,0.989424620824538,0.0178881959405749,0.9467137488223248
255,0.15,725.0,Sobol1,0.0106723851988398,0.9890107504299286,0.0173079898395797,0.9475800174925124
256,0.1,816.0,Sobol1,0.0106910006594038,0.9920140872896944,0.0173840118652279,0.9468180963436336
257,0.05,725.0,Sobol2,0.010694403919872,0.9916615751133128,0.0150533567550733,0.9607167832579908
258,0.1,816.0,Sobol1,0.0106974188550013,0.9919412695266184,0.0174119928091434,0.94664539053528
259,0.2,180.0,Sobol1,0.0107059663311281,0.9892263995729834,0.0179105201552015,0.9467154576001718
260,0.1,272.0,Sobol1,0.0107087061072226,0.9926674417495136,0.017383168855472,0.9473627465393126
261,0.2,78.0,Sobol1,0.0107113789809374,0.9910613484064872,0.0171061511890114,0.9480675332876284
262,0.15,968.0,Sobol1,0.0107134075464518,0.9876398893470042,0.0174840487832843,0.9462723037297734
263,0.15,297.0,Sobol1,0.0107179087449874,0.9883464923970412,0.0179355126304923,0.9452905190407124
264,0.1,272.0,Sobol1,0.0107214415080748,0.992581671870945,0.0173702027518768,0.9472188068174116
265,0.05,725.0,Sobol2,0.0107236837330928,0.9915336106511076,0.0151028716871733,0.9604581465771048
266,0.05,725.0,Sobol2,0.010725514199926,0.9916195891148328,0.0150829148746515,0.9606760340261312
267,0.2,180.0,Sobol1,0.01073206819286,0.989234268801345,0.0179096712189593,0.946685123545607
268,0.25,222.0,Sobol1,0.0107523457158027,0.9877360358681644,0.0178657059963507,0.9449801671441131
