,ratio,rndint,dataset,mape_test,r2_test,mape_interpolation,r2_interpolation
87,0.05,593.0,Sobol1,0.0049509838036051,0.9977714058430632,0.0158345540069845,0.9455698523468048
88,0.05,877.0,Sobol1,0.0049886057417126,0.9984059635066772,0.0177436126997963,0.92740376080655
89,0.2,562.0,Sobol1,0.0049890030531439,0.9978588962363468,0.0155947204685225,0.9438040474700216
90,0.15,562.0,Sobol1,0.0049906670986165,0.9979470823280138,0.0158132002637743,0.9417916369778886
91,0.15,968.0,Sobol1,0.0049930339467241,0.9970568941349848,0.0158834825208501,0.9434887655624552
92,0.1,669.0,Sobol1,0.0049939807779099,0.9977022199921344,0.015634036681719,0.9462369086793708
93,0.1,561.0,Sobol1,0.0049941990114627,0.9987761256639144,0.015479879989673,0.9485187347164308
94,0.2,968.0,Sobol1,0.0050027991864785,0.9969912265778724,0.0156740032046067,0.945089952851645
95,0.1,78.0,Sobol1,0.0050027998060643,0.9977041790122402,0.0155999171483994,0.9477727878885498
96,0.05,593.0,Sobol1,0.0050054545886853,0.9976827750679508,0.017922074012308,0.922793405098222
97,0.1,111.0,Sobol1,0.0050059493304998,0.9980324097978324,0.0156470958510642,0.9468407774162728
98,0.15,968.0,Sobol1,0.0050072123742499,0.9981794816775726,0.0152113293699757,0.9521698451507448
99,0.15,816.0,Sobol1,0.005011389580491,0.9977342476426264,0.0159113749777132,0.9430383154671468
100,0.25,633.0,Sobol1,0.005011485227492,0.9973306738662834,0.0152879211213558,0.9513892276853022
101,0.1,222.0,Sobol1,0.0050136585200606,0.9972414365819136,0.0156519709210898,0.9450365840814146
102,0.15,816.0,Sobol1,0.0050314059355373,0.9982977830897144,0.0151116913841883,0.9518050963685376
103,0.1,390.0,Sobol1,0.00503477864143,0.998576640609508,0.0152946558539504,0.951427442238188
104,0.1,928.0,Sobol1,0.0050369846238838,0.9977530440029552,0.0157493751966583,0.9466906612825484
105,0.05,854.0,Sobol1,0.0050385490925621,0.9968794290519968,0.0180305576896747,0.9235385109909252
106,0.1,294.0,Sobol1,0.0050404266095694,0.9975163732258754,0.0183138541571101,0.9190026135093168
107,0.1,294.0,Sobol1,0.0050418250396007,0.9977099108731392,0.0156868071591853,0.946694411930012
108,0.05,996.0,Sobol1,0.0050421483978721,0.998906081538639,0.0153840590253444,0.9505169620150686
109,0.1,562.0,Sobol1,0.0050459798495371,0.997950806966306,0.0159819359351022,0.94061338757616
110,0.05,816.0,Sobol1,0.0050463772658933,0.9984504577198604,0.0153787994344395,0.9502751516134677
111,0.1,928.0,Sobol1,0.0050494726987696,0.997527073403684,0.0175589731029004,0.9275218326976552
112,0.2,294.0,Sobol1,0.0050550151271309,0.9978886921502584,0.0156837906856685,0.94555778325814
113,0.35,928.0,Sobol1,0.0050560530395608,0.9972290945652617,0.0153229964969472,0.949277736882707
