,ratio,rndint,dataset,#trees,mape_ist,r2_ist,mape_ost,r2_ost
21693,0.95,237.0,Grid2401,1000.0,0.015554608541723094,0.8515192419453754,0.09608219220672817,0.2778901371944671
21694,0.95,237.0,Sobol1,1000.0,0.031732606921072944,0.9310221531009409,0.0325113416738902,0.8787938693120765
21695,0.95,237.0,Sobol2,1000.0,0.04205882310066882,0.8904334511508392,0.031781639009932715,0.8825824707098551
21696,0.95,588.0,Grid1296,10.0,0.037531348137891024,0.6463430963558964,0.08448433329409875,0.3940881631687798
21697,0.95,588.0,Grid2401,10.0,0.026190508542221245,0.579094745091336,0.10464672836773434,0.1646632719323764
21698,0.95,588.0,Sobol1,10.0,0.03945816828292893,0.8715402412401084,0.037969282460862855,0.8217350461232034
21699,0.95,588.0,Sobol2,10.0,0.04473042640143701,0.8581580877639077,0.03460212105650365,0.8330959965133203
21700,0.95,588.0,Grid1296,100.0,0.03361022136750291,0.6958941980063902,0.08206609598326604,0.42606092156382425
21701,0.95,588.0,Grid2401,100.0,0.02424356773342875,0.7150039596676239,0.10381338502788627,0.1950355974098601
21702,0.95,588.0,Sobol1,100.0,0.03710671168305377,0.8861142286458861,0.035277343958362385,0.8440007615344909
21703,0.95,588.0,Sobol2,100.0,0.040144605726247486,0.8805733315832501,0.032638834498466614,0.8468404039534968
21704,0.95,588.0,Grid1296,250.0,0.033773734331325335,0.6952933401103347,0.08172037886708557,0.42812062431778264
21705,0.95,588.0,Grid2401,250.0,0.02446144989332912,0.6902770963885498,0.10380835933742659,0.19175375524725524
21706,0.95,588.0,Sobol1,250.0,0.03716953990984535,0.884750814455436,0.03512692643823264,0.8433542906194205
21707,0.95,588.0,Sobol2,250.0,0.03990889720902156,0.881884463005387,0.032115943487458644,0.8522402162970127
21708,0.95,588.0,Grid1296,500.0,0.03369270492908699,0.6950758040286946,0.0816645994067923,0.42868296793886074
21709,0.95,588.0,Grid2401,500.0,0.025405995865404714,0.6617980428393063,0.10423150637722826,0.18602188130734665
21710,0.95,588.0,Sobol1,500.0,0.037101039923720214,0.8838059821529148,0.034969420639154286,0.8437141005248936
21711,0.95,588.0,Sobol2,500.0,0.03994318380906855,0.8824281284316569,0.03212750470209402,0.8518404953808767
21712,0.95,588.0,Grid1296,750.0,0.033668819252955125,0.6949907319796522,0.08160188096109021,0.4286821549240718
21713,0.95,588.0,Grid2401,750.0,0.025478559579425873,0.6596673986121149,0.10429907758635164,0.1844870291718913
21714,0.95,588.0,Sobol1,750.0,0.03718960853655105,0.8830633231701258,0.03506484944030638,0.8424870787366439
21715,0.95,588.0,Sobol2,750.0,0.039926273224040354,0.8820929132858538,0.03200939356331659,0.8522585609595825
21716,0.95,588.0,Grid1296,1000.0,0.033586484329210166,0.6961245289309688,0.0816051868455845,0.429097799502703
21717,0.95,588.0,Grid2401,1000.0,0.025615061179458155,0.6549702897562151,0.10431648649183246,0.18366382607106768
21718,0.95,588.0,Sobol1,1000.0,0.03717851430205847,0.8830949060196567,0.03507795905059414,0.842602886512003
21719,0.95,588.0,Sobol2,1000.0,0.03991615925881836,0.8824196059953374,0.03205555193075058,0.8522525769290912
21720,0.95,951.0,Grid1296,10.0,0.024581559350608132,0.9175070680159988,0.045116551945250626,0.8404378625803306
21721,0.95,951.0,Grid2401,10.0,0.018519019998886853,0.8305250347558422,0.10301122489965298,0.19052119587799954
21722,0.95,951.0,Sobol1,10.0,0.03548462543899057,0.9030132924191092,0.03244539088848626,0.8772777331171235
21723,0.95,951.0,Sobol2,10.0,0.042063911041236045,0.8957528465095169,0.03210202374660055,0.877265256086727
21724,0.95,951.0,Grid1296,100.0,0.019439809351493705,0.9488866137810208,0.04302942082697448,0.8535704064342738
21725,0.95,951.0,Grid2401,100.0,0.0182673006364272,0.83127736707622,0.10339020603483993,0.18516699661002
21726,0.95,951.0,Sobol1,100.0,0.033669091939247296,0.9164637432824142,0.03099915260263136,0.8915639367120004
21727,0.95,951.0,Sobol2,100.0,0.040478100282034545,0.9003135617849032,0.02997963169591918,0.8913866719707848
21728,0.95,951.0,Grid1296,250.0,0.019190950213738796,0.9475855656669003,0.04314889527990845,0.8519437334317523
21729,0.95,951.0,Grid2401,250.0,0.01821930861165694,0.8322734969829256,0.10306421657275847,0.19089921700663615
21730,0.95,951.0,Sobol1,250.0,0.0339281918411669,0.9149477721617776,0.03116597851289852,0.8910565325039627
21731,0.95,951.0,Sobol2,250.0,0.03986417180029777,0.9028662515942747,0.029600208930097845,0.893650399717938
21732,0.95,951.0,Grid1296,500.0,0.019104658197665762,0.9480447875045341,0.04322397716316899,0.8519517889047308
21733,0.95,951.0,Grid2401,500.0,0.018084251445490283,0.8340424366086603,0.10298638100770297,0.19239751055410903
21734,0.95,951.0,Sobol1,500.0,0.033622608245550606,0.9158507793522191,0.03115518264237547,0.8905743504821675
21735,0.95,951.0,Sobol2,500.0,0.03983585417860346,0.903675618440159,0.029451537621762915,0.8952439447741851
21736,0.95,951.0,Grid1296,750.0,0.019097467658412526,0.9478663725242855,0.043234750737585106,0.8519206750023692
21737,0.95,951.0,Grid2401,750.0,0.017978425771006126,0.8346885397788169,0.1029807676665272,0.19205277417932198
21738,0.95,951.0,Sobol1,750.0,0.033665874577802506,0.9153942933242544,0.03121707304481517,0.890299115673128
21739,0.95,951.0,Sobol2,750.0,0.040415110792456986,0.9013838368114039,0.0295291863572091,0.8946037366892969
21740,0.95,951.0,Grid1296,1000.0,0.018909926841397504,0.9489691509504978,0.04330938869541872,0.8518418928977256
21741,0.95,951.0,Grid2401,1000.0,0.017967948076019376,0.8345498930267796,0.10294364208823484,0.1922557937496986
21742,0.95,951.0,Sobol1,1000.0,0.03361683365316232,0.9153427488042869,0.03131559669688532,0.8898373246474214
21743,0.95,951.0,Sobol2,1000.0,0.040572446574680676,0.9004662616231919,0.029596441253451743,0.8939581258077287
21744,0.95,490.0,Grid1296,10.0,0.024176261749075563,0.9011685981195241,0.05170246543504725,0.8062975351102992
21745,0.95,490.0,Grid2401,10.0,0.028613599510112775,0.711025302911644,0.10557990219084257,0.17825001985104738
21746,0.95,490.0,Sobol1,10.0,0.03437310751746102,0.9067226138624757,0.03471590305255623,0.846799074632754
21747,0.95,490.0,Sobol2,10.0,0.04208298972856482,0.8895765673855158,0.03292512555916907,0.8728366764987789
21748,0.95,490.0,Grid1296,100.0,0.023500643766885106,0.9018900887365187,0.05270253225526538,0.788810374645192
