,ratio,rndint,dataset,rmse,mape,r2,rmse_all,mape_all,r2_all
47,0.05,711.0,Sobol2,86.31853263020531,0.12388868331605964,0.4327507006513023,72.23872723807722,0.09400962162805344,0.3778160193313609
48,0.05,985.0,Grid1296,47.71582235839793,0.05684974032114891,0.5088002699273628,78.42047482281764,0.09594260179718402,0.4074392905478169
49,0.05,985.0,Grid2401,35.68213663085814,0.040944533821933776,0.7487317170444847,101.2730168563646,0.11811354877179096,0.0728226642628973
50,0.05,985.0,Sobol1,72.3611600114341,0.0934751189291688,0.42605874708450864,71.52421470099642,0.0929693814881982,0.3993134958875971
51,0.05,985.0,Sobol2,84.85186136472903,0.11866053484946187,0.53777521766553,72.1231295800086,0.09375060252754251,0.3830823135897813
52,0.05,171.0,Grid1296,51.581300264071906,0.06305384745021152,0.543627430499445,78.67425033825921,0.09601771339266386,0.40430061331574196
53,0.05,171.0,Grid2401,45.449171715902516,0.04974946628122572,0.6598778638108236,101.34847123733952,0.11833176933850069,0.07267706154932918
54,0.05,171.0,Sobol1,82.87976575952102,0.12089949843737338,0.5448934490928,71.4035374583628,0.09296866740241382,0.41181479692890866
55,0.05,171.0,Sobol2,81.48745173995164,0.11049069323634991,0.5701101552675532,72.17453309977047,0.09377998563390764,0.38113724948842753
56,0.05,75.0,Grid1296,51.58246512587541,0.06288928595491004,0.5543405828913537,78.27936449312801,0.09580599265394264,0.4103533360835723
57,0.05,75.0,Grid2401,47.34058292244652,0.05145127474067579,0.5254768505543179,101.23306651315076,0.11827519790298839,0.07057144484332967
58,0.05,75.0,Sobol1,75.62935664787572,0.1041129999857816,0.5430345580674769,71.3392606717476,0.09280731034946274,0.4078682454522916
59,0.05,75.0,Sobol2,73.90812502648666,0.10580710178324616,0.5747587731983076,72.05154773088464,0.09383058900578668,0.3803153002291537
60,0.05,16.0,Grid1296,40.399497408768504,0.04893168378330875,0.5012704320601331,78.33491516543074,0.09592761648930387,0.4079431669158191
61,0.05,16.0,Grid2401,42.25021496254089,0.04224936512868013,0.6572779173315146,101.3565177249742,0.11824824844517219,0.07155133804680902
62,0.05,16.0,Sobol1,69.08617217576503,0.09205565499616689,0.5445069671427347,71.35375228096837,0.09283225353537643,0.40459493140265057
63,0.05,16.0,Sobol2,75.96054388168776,0.09999777036097653,0.4936476158797457,72.2428305431379,0.09393650560935259,0.375119180656748
64,0.05,669.0,Grid1296,57.506882067256456,0.06605078490794289,0.5391804973243676,78.77656732448031,0.09593238496850533,0.4035656620494502
65,0.05,669.0,Grid2401,40.44393661830793,0.04582962265598514,0.695283430023145,101.52594101568857,0.11849494222540612,0.06759752373089234
66,0.05,669.0,Sobol1,86.60562986857084,0.12722950165379135,0.4551433167038922,71.65908316209672,0.09336908313279985,0.4050886588933994
67,0.05,669.0,Sobol2,69.141730356348,0.09377280293412699,0.6230880922664251,71.7247848523,0.09320465062040702,0.3863143954461137
68,0.05,530.0,Grid1296,56.8813113318737,0.06665603000149031,0.433938856965395,78.46158476272979,0.09595253728702471,0.4074559892303409
69,0.05,530.0,Grid2401,43.844345503770505,0.04736364856919773,0.5955266915971063,101.35928806467864,0.11841026933170001,0.06881177416699469
70,0.05,530.0,Sobol1,71.48527489959594,0.0942146593476849,0.4703534498883296,71.51760690782713,0.09303423051476922,0.4004084493312039
71,0.05,530.0,Sobol2,81.03647762534648,0.11501167681474476,0.5687120792294116,72.05742262806028,0.09374682320067039,0.38386828152218944
72,0.05,999.0,Grid1296,68.42445650343446,0.07913309795996429,0.4632032397867998,79.12873513887345,0.09612592678838253,0.3991275467157839
73,0.05,999.0,Grid2401,33.85939504186163,0.04093424062582453,0.675192403832155,101.23175160004882,0.11820926679570924,0.06972956347600479
74,0.05,999.0,Sobol1,87.81522679802448,0.1287232897442286,0.4455971058813947,71.48895521654786,0.09300221685722769,0.40786841482113323
75,0.05,999.0,Sobol2,72.64510859284549,0.09935902170254611,0.48874433050591537,72.055134227009,0.09375257865690033,0.37789098583730574
76,0.05,794.0,Grid1296,47.727726778288115,0.055293262707393986,0.48294623437879824,78.58433804587703,0.09590936804665592,0.40485083701960933
77,0.05,794.0,Grid2401,42.112621364862434,0.04403018785782785,0.6105344229063043,101.55670708960277,0.11855579733607075,0.06481852188484705
