,SigC,SigH,EpsC,EpsH,density
500,0.175,0.1138,1.068,0.07,649.892
501,0.175,0.1138,1.068,0.09,645.1
502,0.175,0.1138,1.068,0.11,647.471
503,0.175,0.1138,1.068,0.13,646.709
504,0.175,0.1593,0.2465,0.03,641.221
505,0.175,0.1593,0.2465,0.05,650.292
506,0.175,0.1593,0.2465,0.07,644.927
507,0.175,0.1593,0.2465,0.09,649.082
508,0.175,0.1593,0.2465,0.11,655.013
509,0.175,0.1593,0.2465,0.13,661.676
510,0.175,0.1593,0.4108,0.03,645.163
511,0.175,0.1593,0.4108,0.05,648.57
512,0.175,0.1593,0.4108,0.07,647.353
513,0.175,0.1593,0.4108,0.09,648.35
514,0.175,0.1593,0.4108,0.11,661.789
515,0.175,0.1593,0.4108,0.13,664.777
516,0.175,0.1593,0.5751,0.03,645.864
517,0.175,0.1593,0.5751,0.05,652.591
518,0.175,0.1593,0.5751,0.07,650.228
519,0.175,0.1593,0.5751,0.09,659.339
520,0.175,0.1593,0.5751,0.11,664.317
521,0.175,0.1593,0.5751,0.13,664.949
522,0.175,0.1593,0.7394,0.03,645.911
523,0.175,0.1593,0.7394,0.05,655.986
524,0.175,0.1593,0.7394,0.07,653.36
525,0.175,0.1593,0.7394,0.09,654.639
526,0.175,0.1593,0.7394,0.11,655.754
527,0.175,0.1593,0.7394,0.13,662.116
528,0.175,0.1593,0.9037,0.03,648.547
529,0.175,0.1593,0.9037,0.05,653.207
530,0.175,0.1593,0.9037,0.07,653.467
531,0.175,0.1593,0.9037,0.09,659.662
532,0.175,0.1593,0.9037,0.11,660.207
533,0.175,0.1593,0.9037,0.13,667.47
534,0.175,0.1593,1.068,0.03,651.561
535,0.175,0.1593,1.068,0.05,652.261
536,0.175,0.1593,1.068,0.07,653.739
537,0.175,0.1593,1.068,0.09,659.899
538,0.175,0.1593,1.068,0.11,658.335
539,0.175,0.1593,1.068,0.13,666.596
540,0.175,0.2048,0.2465,0.03,645.374
541,0.175,0.2048,0.2465,0.05,660.392
542,0.175,0.2048,0.2465,0.07,660.307
543,0.175,0.2048,0.2465,0.09,672.929
544,0.175,0.2048,0.2465,0.11,683.531
545,0.175,0.2048,0.2465,0.13,686.39
546,0.175,0.2048,0.4108,0.03,649.287
547,0.175,0.2048,0.4108,0.05,655.316
548,0.175,0.2048,0.4108,0.07,665.648
549,0.175,0.2048,0.4108,0.09,674.106
550,0.175,0.2048,0.4108,0.11,676.419
551,0.175,0.2048,0.4108,0.13,688.113
552,0.175,0.2048,0.5751,0.03,648.148
553,0.175,0.2048,0.5751,0.05,656.071
554,0.175,0.2048,0.5751,0.07,670.344
555,0.175,0.2048,0.5751,0.09,678.617
556,0.175,0.2048,0.5751,0.11,682.671
557,0.175,0.2048,0.5751,0.13,696.951
558,0.175,0.2048,0.7394,0.03,656.391
559,0.175,0.2048,0.7394,0.05,663.298
560,0.175,0.2048,0.7394,0.07,669.099
561,0.175,0.2048,0.7394,0.09,676.783
562,0.175,0.2048,0.7394,0.11,679.38
563,0.175,0.2048,0.7394,0.13,694.588
564,0.175,0.2048,0.9037,0.03,656.563
565,0.175,0.2048,0.9037,0.05,663.062
566,0.175,0.2048,0.9037,0.07,672.159
567,0.175,0.2048,0.9037,0.09,681.129
568,0.175,0.2048,0.9037,0.11,689.551
